nameOfPlace,Poverty Rate
California,12.1
Alameda County,9.2
Alameda city,7.1
Albany city,9.1
Ashland CDP,15.9
Berkeley city,17.7
Castro Valley CDP,7.1
Cherryland CDP,11.7
Dublin city,3.9
Emeryville city,12.2
Fairview CDP,2.2
Fremont city,5.3
Hayward city,9.6
Livermore city,4.3
Newark city,4.0
Oakland city,13.2
Piedmont city,3.5
Pleasanton city,5.3
San Leandro city,8.4
San Lorenzo CDP,5.8
Sunol CDP,6.3
Union City city,6.6
Alpine County,13.7
Alpine Village CDP,17.7
Bear Valley CDP (Alpine County),0.0
Kirkwood CDP (Combined Total - Alpine/Amador Counties),27.3
Markleeville CDP,4.9
Mesa Vista CDP,0.0
Amador County,7.8
Amador City city,9.3
Amador Pines CDP,0.9
Buckhorn CDP,8.0
Buena Vista CDP,14.6
Camanche North Shore CDP,16.0
Camanche Village CDP,1.3
Drytown CDP,16.7
Fiddletown CDP,39.3
Ione city,9.4
Jackson city,9.3
Kirkwood CDP (Combined Total - Alpine/Amador Counties),27.3
Lockwood CDP (Amador County),0.0
Martell CDP,0.0
Pine Grove CDP,5.0
Pioneer CDP,8.5
Plymouth city,15.3
Red Corral CDP,7.1
River Pines CDP,13.6
Sutter Creek city,6.6
Volcano CDP,39.0
Butte County,18.2
Bangor CDP,4.5
Berry Creek CDP,30.9
Biggs city,7.9
Butte Creek Canyon CDP,18.4
Butte Meadows CDP,-
Butte Valley CDP,1.9
Cherokee CDP,53.7
Chico city,22.2
Clipper Mills CDP,80.3
Cohasset CDP,14.5
Concow CDP,6.6
Durham CDP,5.7
Forbestown CDP,12.6
Forest Ranch CDP,2.9
Gridley city,9.5
Honcut CDP,45.7
Kelly Ridge CDP,8.6
Magalia CDP,11.2
Nord CDP,0.0
Oroville city,23.3
Oroville East CDP,7.7
Palermo CDP,21.6
Paradise town,16.5
Rackerby CDP,37.8
Richvale CDP,0.0
Robinson Mill CDP,51.4
South Oroville CDP,15.8
Stirling City CDP,52.8
Thermalito CDP,22.2
Yankee Hill CDP,6.9
Calaveras County,13.1
Angels city,12.1
Arnold CDP,5.4
Avery CDP,27.7
Copperopolis CDP,10.2
Dorrington CDP,9.8
Forest Meadows CDP,7.9
Mokelumne Hill CDP,0.0
Mountain Ranch CDP,0.0
Murphys CDP,12.3
Rail Road Flat CDP,56.4
Rancho Calaveras CDP,10.4
San Andreas CDP,37.5
Vallecito CDP,16.9
Valley Springs CDP,11.1
Wallace CDP,0.0
West Point CDP,17.0
Colusa County,10.9
Arbuckle CDP,1.8
College City CDP,0.0
Colusa city,16.2
Grimes CDP,45.6
Lodoga CDP,42.3
